cb_code,treatcond_keywords
CV007,CAD | Coronary Heart Disease | CHD | Arteriosclerosis | Atherosclerosis | Hardening of the Arteries | Heart Artery Disease | Blood Pressure | Blood Pressure | Coronary Artery Disease | Diastolic | BP | Heart Rate | Myocardial Infarction | Plaque | Positive Stress Test
CV008,A-Fib | Irregular Heartbeat | EP Studies
CV009,Myocardial Infarction | Chest Pain | Angina
CV010,TEE | Esophageal Echo | Echo
CV011,EP Studies
CY001,Bladder Scope | Urethra Scope | Scope | Exam of Bladder | Exam of Urethra | Bad Smelling Urine | Burning Urination | Frequent Urination | Painful Urination | Cystourethroscopy
DC001,Chest Pain | Catheterization | Cardiac | Plaque | Vessels | Arteries | Positive Stress Test | Heart Attack | Heart Muscle Damage | Heart Disease | Coronary Artery Disease | Heart Defects | Heart Problem | Myocardial Infarction | Cardiac Catheterization - Diagnostic
DC002,Angioplasty | Stent | Drug-Eluting | Chest Pain | Catheterization | Cardiac | Heart | Plaque | Vessels | Arteries | Clogged Artery | Balloon | Myocardial Infarction | Positive Stress Test | Angioplasty of Coronary Artery with Drug-Eluting Stent
DC003,Angioplasty | Chest Pain | Catheterization | Cardiac | Heart | Plaque | Vessels | Arteries | Clogged Artery | Balloon | Myocardial Infarction | Positive Stress Test | Angioplasty of Coronary Artery
DC004,Angioplasty | Stent | Non-Drug-Eluting | Chest Pain | Catheterization | Cardiac | Heart | Plaque | Vessels | Arteries | Clogged Artery | Balloon | Bare Metal Stent | Myocardial Infarction | Positive Stress Test
DC005,Bypass | CABG | Open Heart | Heart Surgery | Coronary Artery Bypass Graft
DC006,Defibrillator | ICD | Irregular Heartbeat
DC007,Valve | Aortic | Pulmonary | Mitral | Tricuspid
DC008,Pacemaker
DC009,Pacemaker
DC010,Artery | Arteries | Leg Pain | Arm Pain | Plaque | Vessels | Extremity
DM001,Mellitus | Gestational Diabetes | High Blood Sugar | Hyperglycemia | Hypoglycemia | Low Blood Sugar | Type 1 | Type 2 | Blood Sugar | Sugar 
EI001,Ear Infection | Infection in Ear | Pain in Ear | Hearing Loss | Hearing Problems | Cannot Hear | Dizziness | Ear Drainage | Ear Hurts | Ear Pain | Ear Plugged | Fluid in Ear | Sore Ear | Swimmers Ear | Ear Infection - Acute
EI002,Chronic Ear Infection | Ear Infection | Infection in Ear | Pain in Ear | Tubes in Ear | Ear Tubes | Tympanostomy | Hearing Loss | Hearing Problems | Cannot Hear | Dizziness | Ear Drainage | Ear Hurts | Ear Pain | Ear Plugged | Fluid in Ear | Sore Ear | Ear Infection - Chronic with Tympanostomy
EI003,Outer Ear Infection | Otitis Externa | Ear Infection | Infected Ear
EI004,Presbycusis | Deafness | Deaf | Loss of Hearing | Age Related Hearing Loss | Hearing Loss
EK001,EKG | ECG | Heart Problem | Heart Rate | Heart Rhythm | Electrocardiogram
EK002,EEG | Brain Wave Recording | Seizures | Epilepsy
EK003,EMG | Muscle Electrical Activity | Myogram | Neuromuscular Disease | Muscle Wave Recording
ER004,ER Visit | Heart Attack | ER | Emergency Department Visit
ER011,Urgent Care Clinic | Convenience Care Clinic | CCC | UCC | Clinic
FS001,"Foot Surgery | Hallux Valgus Correction | Bunionectomy 

"
GB001,Gastric Bypass | Bariatric Surgery | Weight Loss Surgery | Roux-en-Y | Weight Gain
GB002,Lapband | Lap Band | Gastric Banding | LAGB | Adjustable Gastric Banding | Bariatric Surgery | Weight Loss Surgery | Lap Band Surgery | Weight Gain
GB003,Gastric Bypass | Bariatric Surgery | Weight Loss Surgery | Weight Gain | Sleeve
GL001,Gallbladder | Laparoscopic Gallbladder Removal | Abdominal Pain | Surgery on Gallbladder | Cholecystectomy
GL002,Gallbladder | Open Gallbladder Removal | Abdominal Pain | Surgery on Gallbladder | Cholecystectomy
GT001,Big Toe | Toe Pain | Pain in Toe | Swollen Toe
HB001,Acid Reflux | Upset Stomach | Nausea | Burning in Throat | Burning in Chest | Sour Stomach | Reflux | GERD | Belching | Burping | Regurgitation | Esophagitis | Gastroesophageal Reflux Disease | Stomach Ache | Stomach Disorder | Stomach Pain | Stomach Upset | Indigestion
HC001,Cholesterol | Fats | Lipids | Hypercholesterolemia | Dyslipidemia | HDL | LDL | Hyperlipidemia
HI001,Allergy | Rash | Dermatitis | Itching | Blisters | Red Skin
HL001,Lice | Pediculosis | Nits
HP001,Elevated Blood Pressure | Blood Pressure | BP | Systolic | Diastolic | Hypertension | Hypertension
HR001,Inguinal Hernia Repair | Groin Hernia Repair | Repair Hernia | Hernia Surgery | Laparoscopic Inguinal Hernia Repair
HR002,Inguinal Hernia Repair | Groin Hernia Repair | Repair Hernia | Hernia Surgery | Open Inguinal Hernia Repair
HR003,Small Intestine Removal | Laparoscopic Small Intestine Removal | Surgery on Small Intestine | Small Bowel Removal | Laparoscopic Small Bowel Removal | Surgery on Small Bowel | Bowel Surgery | Enterectomy | Partial Removal of Small Intestine | Partial Small Intestine Removal | Partial Removal of Small Bowel | Partial Small Bowel Removal
HR004,Fundoplasty | Esophagus | Esophageal | Heartburn | Repair Hernia | Hernia Surgery
HR005,Hemorrhoids | Removal of Hemorrhoids | Hemorrhoidectomy
HR006,Abdominal Hernia Repair | Repair Hernia | Hernia Surgery | Abdomen Hernia
HR007,Abdominal Hernia Repair | Repair Hernia | Hernia Surgery | Abdomen Hernia
HR008,Small Intestine Removal | Open Small Intestine Removal | Surgery on Small Intestine | Small Bowel Removal | Open Small Bowel Removal | Surgery on Small Bowel | Bowel Surgery | Enterectomy | Partial Removal of Small Intestine | Partial Removal of Small Bowel
HR009,Ulcerative Colitis
HR010,blank condition
HR011,blank condition
HT001,Uterus Scope | Scope of Uterus | Exam of Uterus | Hysteroscopy
HT002,Uterus Scope | Scope of Uterus | Exam of Uterus | Hysterosalpingogram | Uterus X-ray | X-ray Uterus
HT003,Loss of Fetus | Loss of Baby | Baby Loss | Miscarriage | Dilation and Curettage
HY001,Hysterectomy | Uterus Removal | Removal of Uterus | Womb Removal | Removal of Womb | Abdominal Hysterectomy
HY002,Hysterectomy | Uterus Removal | Removal of Uterus | Womb Removal | Removal of Womb | Vaginal Hysterectomy
HY003,Fallopian Tube Removal | Removal of Fallopian Tube | Removal of Ovary | Oophorectomy | Salpingoectomy | Ovary Removal | Removal of Ovaries and Fallopian Tubes
HY004,Hysterectomy | Uterus Removal | Removal of Uterus | Womb Removal | Removal of Womb 
HY005,Myomectomy | Fibroid Removal | Removal of Fibroid | Fibroids
HY006,Uterus Scope | Scope of Uterus | Exam of Uterus | Hysteroscopy | Laparoscopy | Lesion Removal
HY007,AUB | Vaginal Bleeding | Endometrial Ablation | Hysteroscopy
HY009,AUB | Vaginal Bleeding  
HY010,Sling Operation | Incontinence 
HY011,blank condition
HY012,Ovary | Cyst | Aspiration
HY013,Ovary | Cyst | Removal
HY014,Pessary | Fitting
IF001,Achy | Cough | Fever | Flu | Flu Shot | Flu Test | Flu Vaccine | Headache | Influenza Shot | Influenza Vaccine | Nausea | Throwing Up | Upset Stomach | Vomiting
IN002,Osteoarthritis | Joint Pain | Knee Pain | Injection | Steroid | Hyaluronic Acid | Cortisone Shot | Arthritis | Injection of Knee
IT001,Toenail | Remove Toenail
KA001,Torn Meniscus | Meniscus Tear | Knee Meniscus | Knee Arthroscopy | Meniscus Repair | Arthroscopic Surgery | Arthroscopy | Knee Pain | Knee Surgery | Knee Injury | Torn Cartilage | Blown Knee | Meniscus Repair via Arthroscopy
KA002,Torn ACL | ACL Tear | Anterior Cruciate Ligament Tear | Knee Arthroscopy | Ligament Attachment (ACL Repair) | Knee Ligament | ACL Reconstruction | Blown Knee | Blown ACL | Arthroscopic Surgery | Arthroscopy | Knee Injury | Knee Pain | Knee Surgery | Ligament Damage | Torn Ligament | ACL Repair via Arthroscopy
KI001,Knee Strain | Knee Injury | Hurt Knee | Knee Pain
LD001,Tick Bite
LI001,Cataract Surgery | Cataract Removal | Lens Implant | Blurred Vision | Cataracts
LI002,Eye Pressure | Eye Surgery | Eye Shunt
LT001,Thyroid | Fatigue | Hypothyroidism | Weight Gain | Goiter | Hypothyroid | Thyroid Gland | Thyroid Releasing Hormone | Thyroid Stimulating Hormone | Thyrotropin | Thyroxine | Triiodothyronine | TRH | TSH | Hypothyroid
LW001,TSH Blood Test | Blood Test for Thyroid Disorder | Hyperthyroid Test | Hypothyroid Test | Thyroid Blood Test | Thyroid Function | Goiter | Hyperthyroidism | Hypothyroidism | Thyroid Gland | Thyrotropin | Thyroid Releasing Hormone | Thyroid Stimulating Hormone | TRH Blood Test | Thyroid | TRH | TSH
LW002,CBC Blood Test | Blood Count | Blood Test for General Health | Hemoglobin Test | HCT Blood Test | HGB Blood Test | Red Blood Cell | White Blood Cell
LW003,Metabolic Panel - Complete | Alanine Transaminase | Albumin | Alkaline Phosphatase | ALT | Aspartate Aminotransferase | AST | Bilirubin | Blood Urea Nitrogen | BUN | Calcium | Carbon Dioxide | Chloride | CMP Blood Test | CO2 | Creatinine | Glucose Test | Potassium Test | Protein | Sodium | Kidney Failure | Complete Metabolic Blood Test
LW004,A1c Blood Test | HbA1c | Diabetes Monitoring | Diabetes Screening | Blood Sugar Test | Hemoglobin A1c | Average Blood Sugar
LW005,Cholesterol Screening | High Cholesterol Monitoring | Cholesterol Test | Lipid Panel | Lipid Test | Lipids | Cholesterol | Fats | HDL | LDL
LW006,Urine Test Without Microscope | Urine Test Automated | Urine Analysis | Bladder Infection | Kidney Infection | Kidney Stones | Urine Test for Bladder Infection | UTI Test | Kidney Failure | Urinary Tract Infection | Kidney Damage | Kidney Disease | Urine Protein Test | Stones
LW007,Level of Vitamin D | Blood Test for Vitamin D | Vitamin D Blood Test
LW008,Body Fluids Culture | Wound Culture | Culture of Body Fluids
LW009,Culture of Urine | UTI Test | Test for Urinary Tract Infection | Urine Test for Bladder Infection | Urinary Tract Infection | Urine Culture | Urine Test | Culture of Urine
LW010,BMP Blood Test | Metabolic Panel - Basic | Calcium | Carbon Dioxide | Chloride | Creatinine | Glucose Test | Potassium Test | Sodium | Blood Urea Nitrogen | BUN | Kidney Failure
LW011,Blood Test for General Health | General Health Blood Test | Metabolic Panel - Complete | Alanine Transaminase | Albumin | Alkaline Phosphatase | ALT | Aspartate Aminotransferase | AST | Bilirubin | Blood Urea Nitrogen | BUN | Calcium | Carbon Dioxide | Chloride | CMP Blood Test | CO2 | Creatinine | Glucose Test | Potassium Test | Protein | Sodium | CBC Blood Test | Blood Count | Hemoglobin Test | HCT Blood Test | HGB Blood Test | Red Blood Cell | White Blood Cell | TSH Blood Test | Blood Test for Thyroid Disorder | Hyperthyroid Test | Hypothyroid Test | Thyroid Blood Test | Thyroid Function | Goiter | Hyperthyroidism | Hypothyroidism | Thyroid Gland | Thyrotropin | Thyroid Releasing Hormone | Thyroid Stimulating Hormone | TRH Blood Test | Kidney Failure | Complete Health Panel
LW012,Sexually Transmitted Disease Test - Gonorrhea | Test for Gonorrhea | STD | Sexually Transmitted Infection | STI
LW013,Liver Function Tests | Blood Test for Liver Function | Liver Disease | Liver Damage | Hepatic Function Panel
LW014,PSA Blood Test | Prostate Cancer Screening | Prostate Specific Antigen | PSA | Prostate Cancer Screening
LW015,Sexually Transmitted Disease Test - Chlamydia | Test for Chlamydia | STD | Sexually Transmitted Infection | STI
LW016,Sexually Transmitted Disease Test - Human Papillomavirus | Cervical Cancer Screening | Genital Warts | Sexually Transmitted Infection | STD | STI | Human Papilloma Virus | HPV
LW017,T4 Blood Test | Thyroid Blood Test | Hyperthyroid Test | Hypothyroid Test | Thyroid Function | Thyroid Gland | Goiter | Hyperthyroidism | Hypothyroidism | Thyroxine | Blood Test for Thyroid Disorder | Thyroid | TRH | TSH
LW018,Clotting Time | Prothrombin time
LW019,Pap Test | Pap Screen | Cervical Cancer Screening | Cervical Cancer Screening
LW020,CK Blood Test | Heart Muscle Damage | Heart Attack | Myocardial Infarction | Muscle Enzyme Blood Test
LW021,Urine Pregnancy Test | Pregnancy Test | HCG Urine Test
LW023,Blood in Stool Test | Blood Occult | Colorectal cancer screening | Occult Blood
LW024,CRP Blood Test | CRP - Inflammation Blood Test | Lupus | Blood Test for Inflammation
LW025,Kidney Blood Test | Creatinine - Kidney Blood Test | Kidney Disease | Kidney Failure | Kidney Infection | Kidney Damage
LW026,GGT Blood Test | Liver Disease | Liver Damage | Liver Function Tests | Liver Enzyme Test
LW027,Diabetes Screening | Diabetes Monitoring | Blood Sugar Test | Fasting Blood Sugar | Gestational Diabetes | Glucose Test | High Blood Sugar | Hyperglycemia | Hypoglycemia | Low Blood Sugar
LW028,Body Fluids Screening for Bacteria | Body Fluids Culture | Screening Culture of Body Fluids
LW029,Throat Culture | Strep Throat | Sore Throat | Strep Throat - Group A Strep
LW030,HCT Blood Test | Anemia | Red Blood Cell | Red Blood Cells Test
LW031,HGB Blood Test | Anemia | Red Blood Cell
LW032,Flu Test
LW033,LDH Blood Test | Anemia | B-12 Test | Vitamin B-12
LW034,ESR Blood Test | ESR - Inflammation Blood Test | ESR Inflammation Test | Inflammation Test | Rheumatoid Arthritis | Sedimentation Rate
LW035,PPD Test | TB Screening | TB Testing | TB Test Reading | Tuberculosis Testing | Tuberculosis Test Reading | Tuberculosis Skin Test
LW036,T3 Blood Test | Triiodothyronine | Hyperthyroid Test | Hyperthyroidism | Hypothyroid Test | Hypothyroidism | Thyroid Gland | Blood Test for Thyroid Disorder | Thyroid Blood Test | Goiter | Thyroid Function | TRH | TSH
LW037,Uric Acid Blood Test | Gout | Kidney Disease | Kidney Stones | Stones
LW038,Urine Test With Microscope | Urine Test Non-Automated | Urine Analysis | Bladder Infection | Kidney Infection | Kidney Stones | Urine Test for Bladder Infection | UTI Test | Urinary Tract Infection | Urine Protein Test | Stones
LW039,Urine Protein Test | Kidney Damage | Kidney Disease | Kidney Failure | Kidney Infection | Microalbumin - Kidney Urine Test | Protein in Urine | Albumin | Protein in Urine Test
LW040,Achy | Fever | Headache | Mono | Kissing Disease | Sore Throat | Tiredness | Fatigue | Swollen Spleen | Monospot
LY001,Extracorporeal Shock Wave Lithotripsy | Shock Wave Lithotripsy | Laser Lithotripsy | ESWL | Kidney Stones | Stones in Kidney | Stones
LY002,Stones in Kidney | Stones
MG001,Headache | Aura | Flashing lights | Sensitivity to light | Sensitivity to sound | Light Sensitivity | Sound Sensitivity
MH001,blank condition
MH002,blank condition
MH003,blank condition
MH004,blank condition
MH005,blank condition
MH006,blank condition
MH007,blank condition
MH008,blank condition
MH009,blank condition
MH010,blank condition
MO001,Achy | Fever | Headache | Mono | Kissing Disease | Sore Throat | Tiredness | Fatigue | Swollen Spleen | Monospot
MP001,Testosterone | Male Problems | Low T
MR001,Brain MRI With and Without Dye | Brain Scan | MRI Brain With and Without Contrast | MRI Brain With and Without Contrast
MR002,Knee MRI Without Dye | MRI Knee Without Contrast | MRI Knee Without Contrast
MR003,Lower Spine MRI Without Dye | MRI Lower Spine Without Contrast | MRI Lower Spine Without Contrast
MR004,Brain MRI Without Dye | Brain Scan | MRI Brain Without Contrast
MR005,Arm MRI Without Dye | MRI Arm Without Contrast | MRI Arm Without Contrast
MR006,Lower Spine MRI Without and With Dye | MRI Lower Spine Without and With Contrast | MRI Lower Spine Without and With Contrast
MR007,Upper Spine MRI Without Dye | MRI Upper Spine Without Contrast | MRI Upper Spine Without Dye | MRI Upper Spine Without Contrast
MR008,Abdomen MRI | Abdomen Scan | MRI Abdomen | Abdominal MRI | Abdominal Scan
MR009,Ankle MRI | Ankle Scan | MRI Ankle 
MR010,Breast MRI | Breast Scan | MRI Breast
MR011,Elbow MRI | Elbow Scan | MRI Elbow
MR012,Face MRI | Face Scan | Scan Face 
MR013,Foot MRI | Foot Scan | Scan Foot
MR014,Heart MRI | Heart Scan | MRI Heart 
MR015,Hip MRI | Hip Scan | Scan Hip
MR016,Hip MRI | Hip Scan | Scan Hip
MR017,Jaw MRI | Jaw Scan | Scan Jaw | TMJ | Temporomandibular Joint
MR018,Leg MRI | Leg Scan | Scan Leg
MR019,Pelvis MRI | Pelvis Scan | Scan Pelvis | Pelvic MRI | Pelvic Scan | Scan Pelvic
