medical_behavior,cb_code,cb_name,cb_desc,consumer_info,main_cpt_code,simple_complex,cb_category,main_facility,health_category_name,icd9,icd10
M,AE001,Acupuncture,"Acupuncture is an ancient Chinese method of healing where hair-thin needles are placed just through the skin in specific locations (acupuncture points).  The tiny needles stimulate the acupuncture points, which, according to traditional Chinese medicine, will correct imbalances and disruptions in energy flow patterns through the body.  
> Acupuncture is used to treat illness, ease pain, and improve other symptoms.  It is based on the theory that balanced energy flow patterns through the body are essential for health and well-being. 
> It is also thought that acupuncture stimulates the release of natural chemicals that block pain messages that are sent to the brain.  However, much is still unknown about the way acupuncture works.
","If you are considering acupuncture, it is important you check coverage with your insurance provider before receiving therapy.  Also, verify that your acupuncturist has undergone necessary training and is licensed in the state they practice. 
> Before your appointment, make a list of the key parts of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter and supplements); and any questions or concerns you want to discuss. Be prepared to discuss your symptoms and how long you�ve had them.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.  Also, make sure your acupuncturist uses sterile, disposable needles, as required by the U.S. Food and Drug Administration. 
> After your appointment, you should understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects or precautions you should take).

Questions to ask your acupuncturist so that you understand the treatment he is providing.    
> As a Complementary and Alternative Medicine (CAM) treatment, is acupuncture generally successful for my condition?  
> How soon should I notice improvement?
> What are my treatment goals and how long will I need treatment? 
> What training do you have in acupuncture?  Does the state you practice in require licensure for acupuncturists?  If so, are you licensed to perform acupuncture?  If this state does not require licensure, what certification do you have as an acupuncturist? 
> What type of needles do you use? ",97810,Simple,Office,Clinic,Office Visits and Consultations,,
M,AF001,Athletes Foot,"Athlete�s foot is an infection on a foot or both feet that is caused by a fungus.  It often affects the skin between the toes, but it can also be found on other parts of the foot and between the fingers.  The fungus that causes athlete�s foot, tinea pedis, is one of the most common �tinea� infections.  It usually occurs in warm, moist places on the body.  The risk of catching athlete�s foot increases if you wear shoes that are closed or lined with plastic, your feet sweat a lot or are wet for long periods, or you have an injury to the skin or nails on your feet.  
> Other fungal infections, such as jock itch or ringworm, can be present the same time as athlete�s foot.","While athlete�s foot can go away with self-care, there may be times you need to see a healthcare provider for further treatment.  Be prepared to discuss your symptoms and how long you�ve had them. 
> Before your appointment, make a list of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter); and any questions or concerns you want to discuss.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.
> After your appointment, you should know your diagnosis, what tests you might need, the reason for those tests, and if the test results will change your treatment plan.  You should also understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects or precautions).
> If your healthcare provider wants you to take a medication, ask if an over-the-counter product is right for you.
> If your healthcare provider prescribes a medication for you, ask for a generic version. If your doctor thinks that a generic version is not right for you, ask for a medication on the lowest available tier of your Prescription Drug List (PDL).",99213,Simple,Office,Clinic,Skin and Nail,1104,B35.3
M,AP001,Ankle Pain,"The ankle is a complex weight bearing joint that allows for walking, running, and jumping.  It is composed of many parts including bones, tendons, ligaments, and cartilage.  Ankle pain can develop after an injury to any of the structures in the ankle joint, overuse of the ankle joint, arthritis in the ankle joint, or infection in the ankle joint.
> The structure and functions of the ankle make it prone to injury or pain.
> A common ankle injury is an ankle sprain, which is an injury to the ligaments in the ankle.  This typically happens when the ankle is twisted, causing �stretching� or tears of the ligaments.  Ligament injuries can result in bruising, swelling, and difficulty bearing weight on the ankle.
","You should contact your healthcare provider if you have ankle pain or an ankle injury that is severe or is not responding to basic first aid at home.  Be prepared to discuss the details of any injury, your symptoms, and how long you�ve had them. 
> Before your appointment, make a list of your medical history, including past illnesses, injuries, surgeries, and hospitalizations; your medications (including over-the-counter); and any questions or concerns you want to discuss.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.
> After your appointment, you should know your diagnosis, what tests you might need, the reason for those tests, and if the test results will change your treatment plan.  You should also understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects or precautions).
",99213,Simple,Office,Clinic,"Bones, Joints, Muscles and Spine",71947,B35.3
M,AP002,Ankle Arthroscopy,,,29898,Complex,Outpatient,Hospital,"Bones, Joints, Muscles and Spine",714,
M,AR001,Allergic Rash,"An allergic rash occurs when the body comes into contact with something that causes the immune system to react in various ways.  A person may have pink or red areas on the skin that are raised or flat, and can be itchy.  Some people may experience blisters with or without a rash.  The rash may be on one small section of the body or over the entire body. The term �hives� may be used to describe an allergic rash. It can be very difficult, even for a trained healthcare provider, to decide whether a rash is due to an allergy, infection, or other cause.   Some common sources of allergic rashes include:
> plants (poison ivy, poison oak)
> medications (penicillin, sulfa)
> insect bites and stings (bees, mosquitoes)
> foods (eggs, peanuts)
> animals (cats, dogs)
> metals (nickel)
> cosmetics and cleaning agents (soap, laundry detergent)
> latex (medical gloves, adhesive bandages)","Before seeing a healthcare provider for an allergic rash, make a list of items you�ve come in contact with in the days prior to noticing the rash.  This will help identify potential causes.  
> Before your appointment, make a list of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter); and any questions or concerns you want to discuss.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.
> After your appointment, you should know your diagnosis, what tests you might need, the reason for those tests, and if the test results will change your treatment plan.  You should also understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects).",99213,Simple,Office,Clinic,Allergy and Bite Conditions,692.9,L23.9
M,AR002,Swimmers Itch,"Swimmer's itch (schistosomiasis) is caused by a parasite found in the waste and droppings of infected water animals, such as ducks and muskrats.  The parasites then invade snails, where they mature and are released into the water.  Humans become infected when they swim in the contaminated water. 
> Symptoms are usually mild after the first exposure to the parasite.  Subsequent exposures can result in more severe symptoms. 
","Make an appointment with your healthcare provider if you have symptoms of swimmer�s itch.
> Before your appointment, make a list of your medical history, including past illnesses, surgeries and hospitalizations; medications (including over-the-counter); and any questions or concerns you want to discuss.  Also, write down any areas you were swimming in and if there was any known or possible contamination of the water.  
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.
> After your appointment, you should know your diagnosis.  You should also understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects). 
",99213,Simple,Office,Clinic,Allergy and Bite Conditions,1203,B65.3
M,AR003,Eczema,"Eczema is a chronic condition characterized by areas of skin that are dry, itchy, irritated, and may have blisters that ooze and form crusts.  What causes eczema is not clear, but it is a skin reaction that is often noted in people who have allergies, such as hay fever or asthma.  
> Eczema can develop anywhere on the body.  In infants, it is often seen on the cheeks, scalp, arms, or legs.  In older people, it is often seen on the back of elbows or knees, ankles, wrists, face, and upper body (torso). 
> The symptoms of eczema can vary from mild (a few small spots) to severe (patches that cover large areas of skin) and go away completely for long periods of time.  
","When you contact your healthcare provider for evaluation of your eczema, be prepared to discuss your symptoms, how long you�ve had them, if you have had them before, and if they are progressing or changing. 
> Before your appointment, make a list of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter); and any questions or concerns you want to discuss.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.
> After your appointment, you should know your diagnosis, understand your treatment plan (including possible alternatives), and know about the medications that were recommended (including possible side effects or precautions).
> If your healthcare provider wants you to take a medication, ask if an over-the-counter product is right for you.
> If your healthcare provider prescribes a medication for you, ask for a generic version. If your doctor thinks that a generic version is not right for you, ask for a medication on the lowest available tier of your Prescription Drug List (PDL).
",99213,Simple,Office,Clinic,Skin and Nail,6918,L20.84 
M,AS001,Allergy Symptoms,"Allergy symptoms develop when the body�s immune system reacts in certain ways to foreign substances, known as allergens.  Symptoms can include itchy eyes and nose, runny nose, sneezing, and watery eyes.  More severe symptoms can include swelling of the eyelids or other parts of the body or difficulty breathing.
> In allergic rhinitis, the allergic reaction typically starts when an allergen enters the nose and comes into contact with the moist membranes.  The immune system then goes to work to protect the body from what it sees as a foreign substance.  
> Allergens are separated into outdoor allergens (e.g., ragweed, grass, pollen, and mold spores) or indoor allergens (e.g. house dust and mites, indoor mold, cockroaches, and animal dander).  Outdoor allergies, also known as �hay fever,� are typically seasonal.  Indoor allergies may be year-round.  It is important to remember that �hay fever� is not actually associated with a fever.
> Some other reasons for a stuffy nose include aging, irritation from cigarette smoke or other irritants, nasal polyps, deviated septum, alcohol, cold weather, strong odors, and certain medications.  In these cases, the symptoms are caused by irritation and not an allergy.","While allergy symptoms can improve with self-care, there may be times you need to see a healthcare provider for further treatment.  Be prepared to discuss your symptoms and how long you�ve had them. 
> Before your appointment, make a list of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter); and any questions or concerns you want to discuss.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.
> After your appointment, you should know your diagnosis, what tests you might need, the reason for those tests, and if the test results will change your treatment plan.  You should also understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects or precautions).
> If your healthcare provider wants you to take a medication, ask if an over-the-counter product is right for you.
> If your healthcare provider prescribes a medication for you, ask for a generic version. If your doctor thinks that a generic version is not right for you, ask for a medication on the lowest available tier of your Prescription Drug List (PDL).",99213,Simple,Office,Clinic,Allergy and Bite Conditions,4779,J30.9
M,AS002,Allergy Testing,"Allergy testing is done to determine if you are allergic to a specific substance (allergen). These may include insect bites, mold, pollen, latex, or animal dander.  This testing can also be done to find the possible cause of certain conditions (asthma, hay fever, and skin irritation).  Two methods of allergy testing are skin tests and blood tests.  
> Skin tests involve placing a small amount of a certain substance into the skin to see if redness and swelling develop.  This can be done by putting the substance on the skin and making a very small scratch with a lancet (prick test).  It can also be done by injecting the substance under the skin with a small needle (intradermal test).  Reactions are usually seen within 15 to 20 minutes. Skin testing is the primary form of allergy testing that is currently used.    
> If skin tests cannot be done, blood tests can help determine the cause of some allergies.  For example, your blood can be combined with particles of a potential allergen to see if there is a response (RAST test).  Blood tests aren�t done routinely because they are more costly than skin testing and may not be as accurate.","When you are seeing a healthcare provider about allergy testing, be prepared to discuss your symptoms, what makes them worse or better, and how long you�ve had them. 
> Before your appointment, make a list the key parts of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter and supplements); and any questions or concerns you want to discuss.  Check to see if a diary of your symptoms is needed.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.
> After your appointment, you should understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects or precautions you should take).
> If your healthcare provider wants you to take a medication, ask if an over-the-counter product is right for you.
> If your healthcare provider prescribes a medication for you, ask for a generic version. If your doctor thinks that a generic version is not right for you, ask for a medication on the lowest available tier of your Prescription Drug List (PDL).
",95004,Simple,Office,Clinic,Allergy and Bite Conditions,4770,J30.1
M,AS003,Allergy Injections,"Allergy shots are injections given to decrease allergy symptoms caused by a known substance or allergen.  The shots are also called immunotherapy.  Allergy shots given at specific intervals can improve or relieve allergy symptoms if avoidance and use of  medication are not possible or don't adequately control symptoms.  
> Most people are able to control their allergy symptoms without the use of shots.
> Immunotherapy involves injecting small amounts of a known allergen under the skin, usually in the upper arm.  To help you build immunity, the amount of allergen increases with each shot if no reaction occurred after the previous injection.
> Immunotherapy is  helpful for some people who have allergic rhinitis, allergic conjunctivitis, allergic asthma, and hypersensitivity to stinging insects.
","When you are seeing a healthcare provider about allergy shots, be prepared to discuss your symptoms, what makes them worse or better, and how long you�ve had them. 
> Before your appointment, make a list the key parts of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter and supplements); and any questions or concerns you want to discuss.  Check to see if a diary of your symptoms is needed.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.
> After your appointment, you should understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects or precautions you should take).
> If your healthcare provider wants you to take a medication, ask if an over-the-counter product is right for you.
> If your healthcare provider prescribes a medication for you, ask for a generic version. If your doctor thinks that a generic version is not right for you, ask for a medication on the lowest available tier of your Prescription Drug List (PDL).",95165,Simple,Office,Clinic,Allergy and Bite Conditions,4770,J30.1
M,AY001,Appendectomy - Inpatient,"A laparoscopic appendectomy is a minimally invasive surgery that uses small medical instruments and a camera to remove an inflamed or infected appendix (appendicitis).  The instruments are inserted into 3 or 4 small cuts in the abdomen.
> In some cases the appendix may need to be removed through a larger incision in the lower right area of the abdomen (open appendectomy).  This may be necessary if the appendix has ruptured or an abscess has formed.
","In most cases an appendectomy is not a planned surgery.  However, if it is planned, before surgery ask your healthcare provider about possible complications, how you will feel after the surgery, and if you will have to modify your activity. 
> After your surgery, you should know what you had done, what medication was given, and what symptoms to report to your healthcare provider. 
> Make sure you understand all home care instructions (including medications and side effects) and follow-up plans.
",44970,Complex,Inpatient,Hospital,"Stomach, Bowel and Rectal ",5409,K3580
M,AY002,Appendectomy - Outpatient,"A laparoscopic appendectomy is a minimally invasive surgery that uses small medical instruments and a camera to remove an inflamed or infected appendix (appendicitis).  The instruments are inserted into 3 or 4 small cuts in the abdomen.
> In some cases the appendix may need to be removed through a larger incision in the lower right area of the abdomen (open appendectomy).  This may be necessary if the appendix has ruptured or an abscess has formed.","In most cases an appendectomy is not a planned surgery.  However, if it is planned, before surgery ask your healthcare provider about possible complications, how you will feel after the surgery, and if you will have to modify your activity. 
> After your surgery, you should know what you had done, what medication was given, and what symptoms to report to your healthcare provider. 
> Make sure you understand all home care instructions (including medications and side effects) and follow-up plans.",44970,Complex,Outpatient,Hospital,"Stomach, Bowel and Rectal ",5409,K3580
M,BB001,Broken Wrist - Doctor Visit,"There are several different types of broken bones.  The types of breaks are:
> Open (also known as compound) fracture � the broken bone comes through the skin or a skin wound extends down to the broken bone
> Closed fracture � the skin over the broken bone remains intact
> Displaced fracture � the bone becomes misaligned or displaced at the site of the break
> Comminuted fracture � the bone is broken into several pieces
> Greenstick fracture � the bone bends and cracks but does not break completely
> Buckle or torus fracture � one side of the bone bends or buckles on itself
Greenstick and buckle fractures are more common in children because their bones are softer and more pliable than the bones of an adult.

The upper extremity (arm) is made up of three bones.  
> The ulna is one of the bones in the bottom part of your forearm (ending in the wrist).  
> The radius is the other bone in the bottom part of your forearm (ending in the wrist).
> The humerus is the bone on the top part of your arm.  It is the largest bone in the arm.  
> The wrist is made up of 8 small bones (carpal bones) and the radius and the ulna. 
Some common ways that people break one of the bones in their wrist include falling (especially falling onto an outstretched hand), playing sports, major trauma (such as during a car or bike accident), and abuse, especially child abuse.  There are medical conditions, such as osteoporosis, that can increase your risk of a broken bone.","If you believe you have a broken wrist, see your healthcare provider.
> If possible, before your appointment make a list of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter); and any questions or concerns you want to discuss.
> During your appointment, talk about your overall health, how you injured your wrist, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.  
> After your appointment you should know if surgery is needed, what type of anesthesia will be used, and what complications can occur.  
You should also understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects).",25600,Simple,Office,Clinic,"Bones, Joints, Muscles and Spine",81342,S52.509A
