cb_code,cb_step_code,cb_step_name,cb_step_desc,service_category,provider_type,icd9,icd10
BR001,BR001_4,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,,174.9,C50.919
BR001,BR001_3,Replacement of Tissue Expander with Permanent Breast Prosthesis,Surgery to replace a tissue expander with a permanent breast prosthesis,Inpatient,,174.9,C50.919
BR001,BR001_6,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,,174.9,C50.919
BS001,BS001_1,Office Visit,A visit with a primary care physician to evaluate your symptoms and determine the best course of treatment,Office ,,726.1,M75.50
BS001,BS001_2,X-ray Shoulder - 2 Views,Images of shoulder made using a small dose of radiation,Radiology,,726.1,M75.50
BS001,BS001_3,Outpatient Physical Therapy,An exercise program guided by a professional who understands the special needs of people with bursitis,Physical Therapy,,726.1,M75.50
CA001,CA001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,433.1,I65.29
CA001,CA001_2,Imaging Studies,Ultrasounds to evaluate the carotid arteries,Radiology,F,433.1,I65.29
CA001,CA001_3,Carotid Endarterectomy,Surgery to clean out plaque from inside the carotid artery,Inpatient,F,433.1,I65.29
CA001,CA001_4,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,433.1,I65.29
CB001,CB001_1,"Prenatal Care, Routine Labs, Ultrasound, and Delivery (physician charges)","Routine prenatal care (monthly visits up to 28 weeks, biweekly visits from 29 to 36 weeks, then weekly visits), labs, ultrasound and delivery of newborn",Office ,P,650,O80
CB001,CB001_2,Vaginal Delivery and Newborn Care (facility charges),"Vaginal delivery, including pain relief and hospital care of the newborn",Inpatient,F,650,O80
CB001,CB001_3,Newborn Care (physician charges),Routine inpatient physician care of newborn,Inpatient,P,650,O80
CB001,CB001_4,Postnatal Visit,A doctor checkup after your delivery,Office ,P,650,O80
CB002,CB002_1,"Prenatal Care, Routine Labs, Ultrasound, and Delivery (physician charges)","Routine prenatal care (monthly visits up to 28 weeks, biweekly visits from 29 to 36 weeks, then weekly visits), labs, ultrasound and delivery of newborn",Office ,P,65421,O34.21
CB002,CB002_2,Cesarean Delivery and Newborn Care (facility charges),"Surgical delivery, including pain relief and hospital care of the newborn",Inpatient,F,65421,O34.21
CB002,CB002_3,Newborn Care (physician charges),Routine inpatient physician care of newborn,Inpatient,P,65421,O34.21
CB002,CB002_4,Postnatal Visit,A doctor checkup after your delivery,Office ,P,65421,O34.21
CC001,CC001_1,Office Visit,A visit with a primary care physician to evaluate your cold and determine the best course of treatment,Office ,P,460,J00 
CF001,CF001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your neck pain,Office ,P,722,M50.20
CF001,CF001_2,MRI of Cervical Spine,MRI of neck (cervical spine),Radiology,F,722,M50.20
CF001,CF001_3,Cervical Fusion and Diskectomy,"Surgery that joins, or fuses, two or more cervical vertebrae",Inpatient,F,722,M50.20
CF001,CF001_4,Outpatient Physical Therapy,An exercise program guided by a professional who understands the special needs of people recovering from back surgery,Physical Therapy,F,722,M50.20
CF001,CF001_5,Follow-up Office Visit,Two follow up office visits after you have left the hospital,Office ,P,722,M50.20
CF002,CF002_1,Office Visit,A visit with a primary care physician to evaluate your neck pain and determine the best course of treatment,Office ,P,7231,M54.2 
CM005,CM005_1,Chiropractic Manipulation,"Hands-on chiropractic treatment to adjust five regions of the spine, including the neck, upper back, and lower back ",Office ,P,,
CP001,CP001_1,Office Visit,A visit with a primary care physician to evaluate your child's chickenpox and determine the best course of treatment,Office ,P,529,B01.9 
CR001,CR001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your breast symptoms,Office ,P,1749,C50.919
CR001,CR001_2,Mammogram - Diagnostic - Digital,An x-ray of the breast with digital images to evaluate lumps or other symptoms,Radiology,F,1749,C50.919
CR001,CR001_3,Breast Biopsy,"The removal of breast tissue to test for abnormal, or cancerous, cells in the breast",Outpatient,F,1749,C50.919
CR001,CR001_4,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,1749,C50.919
CR002,CR002_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your breast symptoms,Office ,P,1749,C50.919
CR002,CR002_2,Mastectomy,The removal of breast tissue through an incision in the chest,Inpatient,F,1749,C50.919
CR002,CR002_3,Follow-up Office Visit,A doctor checkup after your surgery,Office ,P,1749,C50.919
CR003,CR003_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your breast symptoms,Office ,P,1749,C50.919
CR003,CR003_2,Radiation Therapy,The use of high-energy rays to kill cancer cells in a specific area of the body,Radiology,F,1749,C50.919
CR004,CR004_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your breast symptoms,Office ,P,1749,C50.919
CR004,CR004_2,Insertion of Central Line,The insertion of a special intravenous catheter for chemotherapy,Outpatient,F,1749,C50.919
CR004,CR004_3,Chemotherapy,The infusion of a medication to kill cancer cells,Outpatient,F,1749,C50.919
CR004,CR004_4,Follow-up Office Visit,Three visits with a specialist to follow up on your progress after chemotherapy,Office ,P,1749,C50.919
CR005,CR005_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and biopsy of your skin lesion,Office ,P,1733,C44.300 
CR005,CR005_2,Lesion Removal - Mohs technique,The complex removal of a cancerous lesion and repair of the wound,Office ,P,1733,C44.300 
CR005,CR005_3,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,1733,C44.300 
CR006,CR006_1,Office Visit,A visit with a primary care physician to evaluate your symptoms and perform a pap smear,Office ,P,2331,D06.9 
CR006,CR006_2,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,2331,D06.9 
CR006,CR006_3,Cervical Biopsy,"The removal of tissue from the cervix to test for abnormal, or cancerous, cells ",Outpatient,F,2331,D06.9 
CR006,CR006_4,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,2331,D06.9 
CR007,CR007_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,2331,D06.9 
CR007,CR007_2,Labwork,Routine labwork before surgery,Laboratory,F,2331,D06.9 
CR007,CR007_3,Abdominal Hysterectomy,Surgery to remove the uterus through an incision made in the abdomen,Inpatient,F,2331,D06.9 
CR007,CR007_4,Follow-up Office Visit,A doctor checkup after your surgery,Office ,P,2331,D06.9 
CR008,CR008_1,Colonoscopy - Biopsy (Physician Services),"An internal examination of the colon (large intestine) and removal of tissue to test for abnormal, or cancerous, cells",Outpatient,P,1539,C18.9
CR008,CR008_2,Colonoscopy - Biopsy (Facility Services),"An internal examination of the colon (large intestine) and removal of tissue to test for abnormal, or cancerous, cells",Outpatient,F,1539,C18.9
CR009,CR009_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your bowel symptoms,Office ,P,1539,C18.9
CR009,CR009_2,Partial Colectomy,The removal of a section of the bowels through an incision in the abdomen,Inpatient,F,1539,C18.9
CR009,CR009_3,Follow-up Office Visit,Two visits with a specialist to follow up on your progress after your surgery.,Office ,P,1539,C18.9
CR010,CR010_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your bowel symptoms,Office ,P,1539,C18.9
CR010,CR010_2,Insertion of Central Line,The insertion of a special intravenous catheter for chemotherapy,Outpatient,F,1539,C18.9
CR010,CR010_3,Chemotherapy,The infusion of a medication to kill cancer cells,Outpatient,F,1539,C18.9
CR010,CR010_4,Follow-up Office Visit,Three visits with a specialist to follow up on your progress after chemotherapy,Office ,P,1539,C18.9
CR011,CR011_1,Upper Endoscopy with Biopsy (Physician Services),"An internal examination of the esophagus, stomach, and removal of tissue to test for abnormal, or cancerous, cells",Outpatient,P,1509,C15.9
CR011,CR011_2,Upper Endoscopy with Biopsy (Facility Services),"An internal examination of the esophagus, stomach, and removal of tissue to test for abnormal, or cancerous, cells",Outpatient,F,1509,C15.9
CR013,CR013_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,1509,C15.9
CR013,CR013_2,Insertion of Central Line,The insertion of a special intravenous catheter for chemotherapy,Outpatient,F,1509,C15.9
CR013,CR013_3,Chemotherapy,The infusion of a medication to kill cancer cells,Outpatient,F,1509,C15.9
CR013,CR013_4,Follow-up Office Visit,Six visits with a specialist to follow up on your progress after chemotherapy,Office ,P,1509,C15.9
CR014,CR014_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,1509,C15.9
CR014,CR014_2,Radiation Therapy,The use of high-energy rays to kill cancer cells in a specific area of the body,Radiology,F,1509,C15.9
CR015,CR015_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your thyroid symptoms,Office ,P,193,C73
CR015,CR015_2,Thyroid Biopsy,"The removal of a piece of the thyroid to test for abnormal, or cancerous, cells in the thyroid",Outpatient,F,193,C73
CR015,CR015_3,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,193,C73
CR016,CR016_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your thyroid symptoms,Office ,P,193,C73
CR016,CR016_2,Thyroidectomy,The removal of the thyroid through an incision in the neck,Inpatient,F,193,C73
CR016,CR016_3,Follow-up Office Visit,A doctor checkup after your surgery,Office ,P,193,C73
CR017,CR017_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your thyroid symptoms,Office ,P,193,C73
CR017,CR017_2,Insertion of Central Line,The insertion of a special intravenous catheter for chemotherapy,Outpatient,F,193,C73
CR017,CR017_3,Chemotherapy,The infusion of a medication to kill cancer cells,Outpatient,F,193,C73
CR017,CR017_4,Follow-up Office Visit,Three visits with a specialist to follow up on your progress after chemotherapy,Office ,P,193,C73
CR018,CR018_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your thyroid symptoms,Office ,P,193,C73
CR018,CR018_2,Radiation Therapy,The use of high-energy rays to kill cancer cells in a specific area of the body,Radiology,F,193,C73
CR019,CR019_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,20280,
CR019,CR019_2,Bone Marrow Biopsy,"The removal of bone marrow to test for abnormal, or cancerous, cells ",Office ,P,20280,
CR019,CR019_3,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,20280,
CR020,CR020_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,20280,
CR020,CR020_2,Insertion of Central Line,The insertion of a special intravenous catheter for chemotherapy,Outpatient,F,20280,
CR020,CR020_3,Chemotherapy,The infusion of a medication to kill cancer cells,Outpatient,F,20280,
CR020,CR020_4,Follow-up Office Visit,Five visits with a specialist to follow up on your progress after chemotherapy,Office ,P,20280,
CR021,CR021_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,20280,
CR021,CR021_2,Bone Marrow Transplant,The infusion of bone marrow (or stem cells) after high dose of chemotherapy,Inpatient,F,20280,
CR021,CR021_3,Follow-up Office Visit,Four doctor checkups after your procedure,Office ,P,20280,
CR022,CR022_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary symptoms,Office ,P,1889,C67.9
CR022,CR022_2,Bladder Biopsy,"The removal of tissue from the bladder for abnormal, or cancerous, cells ",Outpatient,F,1889,C67.9
CR022,CR022_3,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,1889,C67.9
CR023,CR023_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary symptoms,Office ,P,1889,C67.9
CR023,CR023_2,Bladder Exam with Tumor Removal,The placement of a special tube into the bladder for examination and removal of a medium tumor(s),Outpatient,F,1889,C67.9
CR023,CR023_3,Follow-up Office Visit,Two doctor checkups after your procedure,Office ,P,1889,C67.9
CR024,CR024_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary symptoms,Office ,P,1889,C67.9
CR024,CR024_2,Removal of Bladder,The removal of the bladder through an incision in the lower abdomen,Inpatient,F,1889,C67.9
CR024,CR024_3,Follow-up Office Visit,Three doctor checkups after your surgery,Office ,P,1889,C67.9
CR025,CR025_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,1889,C67.9
CR025,CR025_2,Insertion of Central Line,The insertion of a special intravenous catheter for chemotherapy,Outpatient,F,1889,C67.9
CR025,CR025_3,Chemotherapy,The infusion of a medication to kill cancer cells,Outpatient,F,1889,C67.9
CR025,CR025_4,Follow-up Office Visit,Five visits with a specialist to follow up on your progress after chemotherapy,Office ,P,1889,C67.9
CR028,CR028_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your respiratory symptoms,Office ,P,1629,C34.90 
CR028,CR028_2,Insertion of Central Line,The insertion of a special intravenous catheter for chemotherapy,Outpatient,F,1629,C34.90 
CR028,CR028_3,Chemotherapy,The infusion of a medication to kill cancer cells,Outpatient,F,1629,C34.90 
CR028,CR028_4,Follow-up Office Visit,Five visits with a specialist to follow up on your progress after chemotherapy,Office ,P,1629,C34.90 
CR029,CR029_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your respiratory symptoms,Office ,P,1629,C34.90 
CR029,CR029_2,Radiation Therapy,The use of high-energy rays to kill cancer cells in a specific area of the body,Radiology,F,1629,C34.90 
CR030,CR030_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and biopsy of your testicles,Office ,P,1869,C62.90
CR030,CR030_2,Testicle Biopsy,"The removal of tissue from a testicle to test for abnormal, or cancerous, cells ",Outpatient,F,1869,C62.90
CR030,CR030_3,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,1869,C62.90
CR031,CR031_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary symptoms,Office ,P,1869,C62.90
CR031,CR031_2,Removal of Testes,The removal of a testicle through an incision in the scrotum,Outpatient,F,1869,C62.90
CR031,CR031_3,Follow-up Office Visit,Three doctor checkups after your surgery,Office ,P,1869,C62.90
CR032,CR032_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,1869,C62.90
CR032,CR032_2,Insertion of Central Line,The insertion of a special intravenous catheter for chemotherapy,Outpatient,F,1869,C62.90
CR032,CR032_3,Chemotherapy,The infusion of a medication to kill cancer cells,Outpatient,F,1869,C62.90
CR032,CR032_4,Follow-up Office Visit,Five visits with a specialist to follow up on your progress after chemotherapy,Office ,P,1869,C62.90
CR033,CR033_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,1869,C62.90
CR033,CR033_2,Radiation Therapy,The use of high-energy rays to kill cancer cells in a specific area of the body,Radiology,F,1869,C62.90
CR034,CR034_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary symptoms,Office ,P,1890,C64.9
CR034,CR034_2,Kidney Biopsy,"The removal of tissue from a kidney to test for abnormal, or cancerous, cells ",Outpatient,F,1890,C64.9
CR034,CR034_3,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,1890,C64.9
CR035,CR035_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary symptoms,Office ,P,1890,C64.9
CR035,CR035_2,Removal of Kidney,The removal of a kidney through a few small incisions in the abdomen,Inpatient,F,1890,C64.9
CR035,CR035_3,Follow-up Office Visit,Three doctor checkups after your surgery,Office ,P,1890,C64.9
CR036,CR036_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your throat symptoms,Office ,P,1950,C76.0 
CR036,CR036_2,Laryngoscopy with Biopsy,"The removal of tissue from the larynx to test for abnormal, or cancerous, cells ",Outpatient,F,1950,C76.0 
CR036,CR036_3,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,1950,C76.0 
CR037,CR037_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your head or neck symptoms,Office ,P,1950,C76.0 
CR037,CR037_2,Removal of Lymph Nodes in Neck,The removal of the lymph nodes in the neck through  an incision in the neck,Inpatient,F,1950,C76.0 
